entityName,variationId,count,firstTimestamp,lastTimestamp,firstDate,lastDate,duration
Posts,57,52,1217540572667,1286367727837,31/07/2008,06/10/2010,797
Posts,82,2501,1217542088620,1471351721187,31/07/2008,16/08/2016,2938
Posts,288,5384812,1217542677883,1481430344767,31/07/2008,11/12/2016,3054
Posts,248,166,1217548601303,1392633128160,31/07/2008,17/02/2014,2026
Posts,206,3815,1217552351177,1462879114470,01/08/2008,10/05/2016,2839
Posts,90,997902,1217567395993,1481423900490,01/08/2008,11/12/2016,3054
Posts,273,748,1217567564193,1470556160630,01/08/2008,07/08/2016,2928
Posts,86,5397,1217592830207,1476451185507,01/08/2008,14/10/2016,2996
Posts,271,61463,1217592982167,1474551340537,01/08/2008,22/09/2016,2974
Posts,299,14561951,1217593157417,1481430863867,01/08/2008,11/12/2016,3054
Posts,285,8947,1217593371593,1480642561097,01/08/2008,02/12/2016,3045
Posts,215,6518,1217593857630,1481283106123,01/08/2008,09/12/2016,3052
Posts,275,1545,1217594160957,1479209147213,01/08/2008,15/11/2016,3028
Posts,176,36,1217596640640,1249838717417,01/08/2008,09/08/2009,373
Posts,283,24427,1217597879723,1480969469920,01/08/2008,05/12/2016,3048
Posts,227,916,1217597907133,1478670611520,01/08/2008,09/11/2016,3022
Posts,269,54709,1217598360097,1481419190610,01/08/2008,11/12/2016,3053
Posts,80,22399,1217598993837,1474515552917,01/08/2008,22/09/2016,2974
Posts,23,251,1217600392510,1453686498650,01/08/2008,25/01/2016,2732
Posts,298,97578,1217601661110,1481177744357,01/08/2008,08/12/2016,3051
Posts,141,496,1217601684277,1376389076770,01/08/2008,13/08/2013,1838
Posts,102,1437,1217604185190,1475665795507,01/08/2008,05/10/2016,2987
Posts,297,275745,1217604443093,1481292189180,01/08/2008,09/12/2016,3052
Posts,143,87,1217607762420,1361950529467,01/08/2008,27/02/2013,1671
Posts,177,30,1217610788933,1238764057873,01/08/2008,03/04/2009,245
Posts,281,8004,1217613115407,1479930822367,01/08/2008,23/11/2016,3036
Posts,216,505295,1217615774070,1481428964873,01/08/2008,11/12/2016,3053
Posts,109,2406797,1217630082853,1481429373057,01/08/2008,11/12/2016,3053
Posts,208,779,1217633331577,1464308217267,01/08/2008,27/05/2016,2855
Posts,30,45116,1217648155697,1481405430267,02/08/2008,10/12/2016,3053
Posts,267,11761,1217663767933,1439934408743,02/08/2008,18/08/2015,2573
Posts,88,8522,1217667507540,1479830602617,02/08/2008,22/11/2016,3034
Posts,26,334,1217689907523,1477367379707,02/08/2008,25/10/2016,3006
Posts,3,23,1217706710250,1275070718917,02/08/2008,28/05/2010,664
Posts,207,1890,1217713151733,1478776828493,02/08/2008,10/11/2016,3022
Posts,29,475,1217729159620,1478675749413,03/08/2008,09/11/2016,3020
Posts,108,15662,1217776030073,1481271708490,03/08/2008,09/12/2016,3050
Posts,279,23884,1217777657523,1480939533443,03/08/2008,05/12/2016,3046
Posts,84,277,1217799757903,1384267765220,03/08/2008,12/11/2013,1927
Posts,261,26046,1217803544533,1481413735453,03/08/2008,10/12/2016,3051
Posts,9,541,1217805501627,1472930268233,03/08/2008,03/09/2016,2953
Posts,69,22,1217825318013,1279371004267,04/08/2008,17/07/2010,712
Posts,22,76,1217829000337,1450548484647,04/08/2008,19/12/2015,2694
Posts,105,12565,1217832680323,1480991556643,04/08/2008,06/12/2016,3046
Posts,258,1901,1217858246097,1369245512390,04/08/2008,22/05/2013,1752
Posts,98,754213,1217861230970,1481411322803,04/08/2008,10/12/2016,3050
Posts,235,2298742,1217862161893,1481430249400,04/08/2008,11/12/2016,3051
Posts,223,394648,1217865929333,1481429946407,04/08/2008,11/12/2016,3051
Posts,155,367,1217867446347,1479323713673,04/08/2008,16/11/2016,3026
Posts,37,29875,1217887270317,1481409338023,04/08/2008,10/12/2016,3050
Posts,121,11,1217893822933,1265732084733,04/08/2008,09/02/2010,554
Posts,107,4997,1217922338310,1481276112760,05/08/2008,09/12/2016,3048
Posts,226,2638,1217934916953,1480637062537,05/08/2008,02/12/2016,3041
Posts,117,2400458,1217944625033,1481429402373,05/08/2008,11/12/2016,3050
Posts,81,931,1217945676327,1453803629313,05/08/2008,26/01/2016,2730
Posts,28,764,1217984165937,1480934656493,06/08/2008,05/12/2016,3043
Posts,268,1948,1218014228423,1472759843163,06/08/2008,01/09/2016,2948
Posts,40,73,1218017456067,1415902862490,06/08/2008,13/11/2014,2290
Posts,21,1916,1218031156793,1463044405060,06/08/2008,12/05/2016,2836
Posts,246,3194,1218037499433,1238966674713,06/08/2008,05/04/2009,242
Posts,47,114148,1218038344787,1481407607187,06/08/2008,10/12/2016,3048
Posts,221,2798,1218039255100,1479226814030,06/08/2008,15/11/2016,3023
Posts,234,15947,1218043639883,1481219998657,06/08/2008,08/12/2016,3046
Posts,53,98813,1218057297507,1481425550577,06/08/2008,11/12/2016,3048
Posts,89,6709,1218068703457,1480450749830,07/08/2008,29/11/2016,3037
Posts,243,2321889,1218076078560,1481430868900,07/08/2008,11/12/2016,3048
Posts,63,2649,1218076198180,1464707857720,07/08/2008,31/05/2016,2855
Posts,259,459,1218106558613,1455673764837,07/08/2008,17/02/2016,2750
Posts,101,917,1218166737747,1472449748833,08/08/2008,29/08/2016,2943
Posts,193,8,1218200508757,1263620395117,08/08/2008,16/01/2010,526
Posts,100,11379,1218204345290,1464889331177,08/08/2008,02/06/2016,2855
Posts,172,1077,1218361781077,1480667664660,10/08/2008,02/12/2016,3036
Posts,191,74,1218370284443,1238959089760,10/08/2008,05/04/2009,238
Posts,150,26592,1218391868100,1481424558813,10/08/2008,11/12/2016,3044
Posts,96,15196,1218459043787,1478816247597,11/08/2008,10/11/2016,3013
Posts,225,3196,1218542461780,1446450880890,12/08/2008,02/11/2015,2638
Posts,38,358,1218543881653,1433830314357,12/08/2008,09/06/2015,2492
Posts,278,271,1218544358347,1447003406733,12/08/2008,08/11/2015,2644
Posts,233,2797,1218548610667,1480913524827,12/08/2008,05/12/2016,3037
Posts,35,834,1218551739643,1477594171420,12/08/2008,27/10/2016,2998
Posts,115,13540,1218554958067,1480908995847,12/08/2008,05/12/2016,3037
Posts,119,91,1218558744540,1238789115717,12/08/2008,03/04/2009,234
Posts,214,1674,1218571573843,1480973187217,12/08/2008,05/12/2016,3037
Posts,222,6238,1218640269103,1480845083967,13/08/2008,04/12/2016,3035
Posts,97,7944,1218646558000,1481180192270,13/08/2008,08/12/2016,3039
Posts,55,684,1218657412707,1284740647437,13/08/2008,17/09/2010,765
Posts,154,316,1218679262253,1480968996803,14/08/2008,05/12/2016,3036
Posts,61,189,1218679853873,1293441002307,14/08/2008,27/12/2010,865
Posts,252,22,1218699758540,1238706384690,14/08/2008,02/04/2009,232
Posts,211,2347,1218725790123,1481100713260,14/08/2008,07/12/2016,3037
Posts,45,190,1218729565397,1479140853573,14/08/2008,14/11/2016,3014
Posts,175,213,1218762330520,1351746062623,15/08/2008,01/11/2012,1539
Posts,1,227,1218808875030,1238890920227,15/08/2008,05/04/2009,232
Posts,104,193,1218809041017,1442557143863,15/08/2008,18/09/2015,2590
Posts,145,7,1218966442610,1231937878253,17/08/2008,14/01/2009,150
Posts,7,75,1218995457937,1246166452477,17/08/2008,28/06/2009,314
Posts,241,5356,1219063973887,1481408061167,18/08/2008,10/12/2016,3036
